Asset Name,# widgets using it
angular-strap-2.3.9-patched-dateTimePicker-setValidity.compat.min.js,3
angular-strap-2.3.9-patched-dateTimePicker-setValidity.tpl.min.js,3
config-html5.js,9
ui-bootstrap-tpls-0.13.0.min.js,21
count-to.js,1
ui-bootstrap-tpls-0.13.3.min.js,2
buttons.js,3
bonita-lib-tpl-0.5.21.js,8
angular-timeline.js,4
gravatar.js,1
ui-bootstrap-tpls-0.13.4.min.js,2
ng-upload-0.5.19-patched.min.js,2
textAngular-1.4.6.min.js,1
textAngular.i18n.config.js,1
AdjuntosBbva.js,1
ng-file-upload.min.js,1
autocomplete.js,1
buttonConsumerAssign.js,1
buttonPledgeContract.js,1
ButtonSecondAction.js,1
buttonWithAction.js,1
commentsWidget.js,1
noFloat.js,2
CurrencyBbva.js,1
downloadDocument.js,1
customHttpRequests.js,1
InputBbva.js,1
javascriptDemo.js,2
InputIntegerBbva.js,1
instantiationButton.js,1
jumbotron.js,1
preloadClientData.js,1
SelectBbva.js,1
TablaParticipes.js,1
customTableWithButtons.js,1
TextBbva.js,1
TrazabilidadBbva.js,1
UpdateUser.js,1
loading-bar.js,1
mask.js,1
ui-bootstrap-2.5.0.js,1
http-param-serializer.service.js,1
angularjs-editable-dropdown.min.js,1
angular-strap-2.3.5.compat.min.js,1
angular-strap-2.3.5.tpl.min.js,1
ng-file-upload.js,1
angular.treeview.js,1
loading-bar.min.js,1
